Cab Name,Source Lang,Target Lang,Lang Group:,FOD Area:,Installed based on
Microsoft-Windows-LanguageFeatures-Handwriting-ro-ro-Package.cab,ro-ro,ro-ro,,Handwriting,Installed LPs
Microsoft-Windows-LanguageFeatures-Handwriting-ru-ru-Package.cab,ru-ru,ru-ru,,Handwriting,Installed LPs
Microsoft-Windows-LanguageFeatures-Handwriting-rw-rw-Package.cab,rw-rw,rw-rw,,Handwriting,Installed LPs
Microsoft-Windows-LanguageFeatures-Handwriting-sk-sk-Package.cab,sk-sk,sk-sk,,Handwriting,Installed LPs
Microsoft-Windows-LanguageFeatures-Handwriting-sl-si-Package.cab,sl-si,sl-si,,Handwriting,Installed LPs
Microsoft-Windows-LanguageFeatures-Handwriting-sq-al-Package.cab,sq-al,sq-al,,Handwriting,Installed LPs
Microsoft-Windows-LanguageFeatures-Handwriting-sr-cyrl-rs-Package.cab,sr-cyrl-rs,sr-cyrl-ba,,Handwriting,Installed LPs
Microsoft-Windows-LanguageFeatures-Handwriting-sr-cyrl-rs-Package.cab,sr-cyrl-rs,sr-cyrl-me,,Handwriting,Installed LPs
Microsoft-Windows-LanguageFeatures-Handwriting-sr-cyrl-rs-Package.cab,sr-cyrl-rs,sr-cyrl-rs,,Handwriting,Installed LPs
Microsoft-Windows-LanguageFeatures-Handwriting-sr-latn-rs-Package.cab,sr-latn-rs,sr-latn-ba,,Handwriting,Installed LPs
Microsoft-Windows-LanguageFeatures-Handwriting-sr-latn-rs-Package.cab,sr-latn-rs,sr-latn-me,,Handwriting,Installed LPs
Microsoft-Windows-LanguageFeatures-Handwriting-sr-latn-rs-Package.cab,sr-latn-rs,sr-latn-rs,,Handwriting,Installed LPs
Microsoft-Windows-LanguageFeatures-Handwriting-sv-se-Package.cab,sv-se,sv-se,,Handwriting,Installed LPs
Microsoft-Windows-LanguageFeatures-Handwriting-sw-ke-Package.cab,sw-ke,sw-ke,,Handwriting,Installed LPs
Microsoft-Windows-LanguageFeatures-Handwriting-tn-za-Package.cab,tn-za,tn-za,,Handwriting,Installed LPs
Microsoft-Windows-LanguageFeatures-Handwriting-tr-tr-Package.cab,tr-tr,tr-tr,,Handwriting,Installed LPs
Microsoft-Windows-LanguageFeatures-Handwriting-wo-sn-Package.cab,wo-sn,wo-sn,,Handwriting,Installed LPs
Microsoft-Windows-LanguageFeatures-Handwriting-xh-za-Package.cab,xh-za,xh-za,,Handwriting,Installed LPs
Microsoft-Windows-LanguageFeatures-Handwriting-zh-cn-Package.cab,zh-cn,zh-cn,,Handwriting,Installed LPs
Microsoft-Windows-LanguageFeatures-Handwriting-zh-hk-Package.cab,zh-hk,zh-hk,,Handwriting,Installed LPs
Microsoft-Windows-LanguageFeatures-Handwriting-zh-tw-Package.cab,zh-tw,zh-tw,,Handwriting,Installed LPs
Microsoft-Windows-LanguageFeatures-Handwriting-zu-za-Package.cab,zu-za,zu-za,,Handwriting,Installed LPs
Microsoft-Windows-LanguageFeatures-OCR-ar-sa-Package.cab,ar-sa,ar-sa,,OCR,Language Profile list
Microsoft-Windows-LanguageFeatures-OCR-bg-bg-Package.cab,bg-bg,bg-bg,,OCR,Language Profile list
Microsoft-Windows-LanguageFeatures-OCR-bs-latn-ba-Package.cab,bs-latn-ba,bs-latn-ba,,OCR,Language Profile list
Microsoft-Windows-LanguageFeatures-OCR-cs-cz-Package.cab,cs-cz,cs-cz,,OCR,Language Profile list
Microsoft-Windows-LanguageFeatures-OCR-da-dk-Package.cab,da-dk,da-dk,,OCR,Language Profile list
Microsoft-Windows-LanguageFeatures-OCR-de-de-Package.cab,de-de,de-de,,OCR,Language Profile list
Microsoft-Windows-LanguageFeatures-OCR-de-de-Package.cab,de-de,de-AT,,OCR,Language Profile list
Microsoft-Windows-LanguageFeatures-OCR-de-de-Package.cab,de-de,de-LI,,OCR,Language Profile list
Microsoft-Windows-LanguageFeatures-OCR-de-de-Package.cab,de-de,de-LU,,OCR,Language Profile list
Microsoft-Windows-LanguageFeatures-OCR-de-de-Package.cab,de-de,de-CH,,OCR,Language Profile list
Microsoft-Windows-LanguageFeatures-OCR-el-gr-Package.cab,el-gr,el-gr,,OCR,Language Profile list
Microsoft-Windows-LanguageFeatures-OCR-en-gb-Package.cab,en-gb ,en-au,,OCR,Language Profile list
Microsoft-Windows-LanguageFeatures-OCR-en-gb-Package.cab,en-gb,en-in,,OCR,Language Profile list
Microsoft-Windows-LanguageFeatures-OCR-en-gb-Package.cab,en-gb,en-gb,,OCR,Language Profile list
Microsoft-Windows-LanguageFeatures-OCR-en-us-Package.cab,en-us,en-us,,OCR,Language Profile list
Microsoft-Windows-LanguageFeatures-OCR-en-us-Package.cab,en-us,en-ca,,OCR,Language Profile list
Microsoft-Windows-LanguageFeatures-OCR-en-us-Package.cab,en-us,ar-sa,,OCR,Language Profile list
Microsoft-Windows-LanguageFeatures-OCR-en-us-Package.cab,en-us,bg-bg,,OCR,Language Profile list
Microsoft-Windows-LanguageFeatures-OCR-en-us-Package.cab,en-us,da-dk,,OCR,Language Profile list
Microsoft-Windows-LanguageFeatures-OCR-en-us-Package.cab,en-us,el-gr,,OCR,Language Profile list
Microsoft-Windows-LanguageFeatures-OCR-en-us-Package.cab,en-us,he-il,,OCR,Language Profile list
Microsoft-Windows-LanguageFeatures-OCR-en-us-Package.cab,en-us,ru-ru,,OCR,Language Profile list
Microsoft-Windows-LanguageFeatures-OCR-en-us-Package.cab,en-us,sr-cyrl-rs,,OCR,Language Profile list
Microsoft-Windows-LanguageFeatures-OCR-en-us-Package.cab,en-us,th-th,,OCR,Language Profile list
Microsoft-Windows-LanguageFeatures-OCR-en-us-Package.cab,en-us,uk-ua,,OCR,Language Profile list
Microsoft-Windows-LanguageFeatures-OCR-es-es-Package.cab,es-es,es-es,,OCR,Language Profile list
Microsoft-Windows-LanguageFeatures-OCR-es-mx-Package.cab,es-mx,es-mx,,OCR,Language Profile list
Microsoft-Windows-LanguageFeatures-OCR-es-mx-Package.cab,es-mx,es-419,,OCR,Language Profile list
Microsoft-Windows-LanguageFeatures-OCR-es-mx-Package.cab,es-mx,es-AR,,OCR,Language Profile list
Microsoft-Windows-LanguageFeatures-OCR-es-mx-Package.cab,es-mx,es-BO,,OCR,Language Profile list
Microsoft-Windows-LanguageFeatures-OCR-es-mx-Package.cab,es-mx,es-CL,,OCR,Language Profile list
Microsoft-Windows-LanguageFeatures-OCR-es-mx-Package.cab,es-mx,es-CO,,OCR,Language Profile list
Microsoft-Windows-LanguageFeatures-OCR-es-mx-Package.cab,es-mx,es-CR,,OCR,Language Profile list
Microsoft-Windows-LanguageFeatures-OCR-es-mx-Package.cab,es-mx,es-DO,,OCR,Language Profile list
Microsoft-Windows-LanguageFeatures-OCR-es-mx-Package.cab,es-mx,es-EC,,OCR,Language Profile list
Microsoft-Windows-LanguageFeatures-OCR-es-mx-Package.cab,es-mx,es-GT,,OCR,Language Profile list
Microsoft-Windows-LanguageFeatures-OCR-es-mx-Package.cab,es-mx,es-HN,,OCR,Language Profile list
Microsoft-Windows-LanguageFeatures-OCR-es-mx-Package.cab,es-mx,es-NI,,OCR,Language Profile list
Microsoft-Windows-LanguageFeatures-OCR-es-mx-Package.cab,es-mx,es-PA,,OCR,Language Profile list
Microsoft-Windows-LanguageFeatures-OCR-es-mx-Package.cab,es-mx,es-PE,,OCR,Language Profile list
Microsoft-Windows-LanguageFeatures-OCR-es-mx-Package.cab,es-mx,es-PR,,OCR,Language Profile list
Microsoft-Windows-LanguageFeatures-OCR-es-mx-Package.cab,es-mx,es-PY,,OCR,Language Profile list
Microsoft-Windows-LanguageFeatures-OCR-es-mx-Package.cab,es-mx,es-SV,,OCR,Language Profile list
Microsoft-Windows-LanguageFeatures-OCR-es-mx-Package.cab,es-mx,es-US,,OCR,Language Profile list
Microsoft-Windows-LanguageFeatures-OCR-es-mx-Package.cab,es-mx,es-UY,,OCR,Language Profile list
Microsoft-Windows-LanguageFeatures-OCR-es-mx-Package.cab,es-mx,es-VE,,OCR,Language Profile list
Microsoft-Windows-LanguageFeatures-OCR-fi-fi-Package.cab,fi-fi,fi-fi,,OCR,Language Profile list
Microsoft-Windows-LanguageFeatures-OCR-fr-ca-Package.cab,fr-ca,fr-ca,,OCR,Language Profile list
Microsoft-Windows-LanguageFeatures-OCR-fr-fr-Package.cab,fr-fr,fr-fr,,OCR,Language Profile list
Microsoft-Windows-LanguageFeatures-OCR-fr-fr-Package.cab,fr-fr,fr-BE,,OCR,Language Profile list
Microsoft-Windows-LanguageFeatures-OCR-fr-fr-Package.cab,fr-fr,fr-029,,OCR,Language Profile list
Microsoft-Windows-LanguageFeatures-OCR-fr-fr-Package.cab,fr-fr,fr-LU,,OCR,Language Profile list
Microsoft-Windows-LanguageFeatures-OCR-fr-fr-Package.cab,fr-fr,fr-MC,,OCR,Language Profile list
Microsoft-Windows-LanguageFeatures-OCR-fr-fr-Package.cab,fr-fr,fr-CH,,OCR,Language Profile list
Microsoft-Windows-LanguageFeatures-OCR-hr-hr-Package.cab,hr-hr,hr-hr,,OCR,Language Profile list
Microsoft-Windows-LanguageFeatures-OCR-hu-hu-Package.cab,hu-hu,hu-hu,,OCR,Language Profile list
Microsoft-Windows-LanguageFeatures-OCR-it-it-Package.cab,it-it,it-it,,OCR,Language Profile list
Microsoft-Windows-LanguageFeatures-OCR-it-it-Package.cab,it-it,it-CH,,OCR,Language Profile list
Microsoft-Windows-LanguageFeatures-OCR-ja-jp-Package.cab,ja-jp,ja-jp,,OCR,Language Profile list
Microsoft-Windows-LanguageFeatures-OCR-ko-kr-Package.cab,ko-kr,ko-kr,,OCR,Language Profile list
Microsoft-Windows-LanguageFeatures-OCR-nb-no-Package.cab,nb-no,nb-no,,OCR,Language Profile list
Microsoft-Windows-LanguageFeatures-OCR-nl-nl-Package.cab,nl-nl,nl-nl,,OCR,Language Profile list
Microsoft-Windows-LanguageFeatures-OCR-nl-nl-Package.cab,nl-nl,nl-be,,OCR,Language Profile list
Microsoft-Windows-LanguageFeatures-OCR-pl-pl-Package.cab,pl-pl,pl-pl,,OCR,Language Profile list
Microsoft-Windows-LanguageFeatures-OCR-pt-br-Package.cab,pt-br,pt-br,,OCR,Language Profile list
Microsoft-Windows-LanguageFeatures-OCR-pt-pt-Package.cab,pt-pt,pt-pt,,OCR,Language Profile list
Microsoft-Windows-LanguageFeatures-OCR-ro-ro-Package.cab,ro-ro,ro-ro,,OCR,Language Profile list
Microsoft-Windows-LanguageFeatures-OCR-ru-ru-Package.cab,ru-ru,ru-ru,,OCR,Language Profile list
Microsoft-Windows-LanguageFeatures-OCR-sk-sk-Package.cab,sk-sk,sk-sk,,OCR,Language Profile list
Microsoft-Windows-LanguageFeatures-OCR-sl-si-Package.cab,sl-si,sl-si,,OCR,Language Profile list
Microsoft-Windows-LanguageFeatures-OCR-sr-cyrl-rs-Package.cab,sr-cyrl-rs,sr-cyrl-rs,,OCR,Language Profile list
Microsoft-Windows-LanguageFeatures-OCR-sr-latn-rs-Package.cab,sr-latn-rs,sr-latn-rs,,OCR,Language Profile list
Microsoft-Windows-LanguageFeatures-OCR-sv-se-Package.cab,sv-se,sv-se,,OCR,Language Profile list
Microsoft-Windows-LanguageFeatures-OCR-sv-se-Package.cab,sv-se,sv-fi,,OCR,Language Profile list
Microsoft-Windows-LanguageFeatures-OCR-tr-tr-Package.cab,tr-tr,tr-tr,,OCR,Language Profile list
Microsoft-Windows-LanguageFeatures-OCR-zh-cn-Package.cab,zh-cn,zh-cn,,OCR,Language Profile list
Microsoft-Windows-LanguageFeatures-OCR-zh-hk-Package.cab,zh-hk,zh-hk,,OCR,Language Profile list
Microsoft-Windows-LanguageFeatures-OCR-zh-tw-Package.cab,zh-tw,zh-tw,,OCR,Language Profile list
Microsoft-Windows-LanguageFeatures-Speech-de-de-Package.cab,de-de,de-de,,Speech,Installed LPs
Microsoft-Windows-LanguageFeatures-Speech-en-au-Package.cab,en-gb,en-au,,Speech,Installed LPs
Microsoft-Windows-LanguageFeatures-Speech-en-ca-Package.cab,en-us,en-ca,,Speech,Installed LPs
Microsoft-Windows-LanguageFeatures-Speech-en-gb-Package.cab,en-gb,en-gb,,Speech,Installed LPs
Microsoft-Windows-LanguageFeatures-Speech-en-in-Package.cab,en-gb,en-in,,Speech,Installed LPs
Microsoft-Windows-LanguageFeatures-Speech-en-us-Package.cab,en-us,en-us,,Speech,Installed LPs
Microsoft-Windows-LanguageFeatures-Speech-es-es-Package.cab,es-es,es-es,,Speech,Installed LPs
Microsoft-Windows-LanguageFeatures-Speech-es-mx-Package.cab,es-mx,es-mx,,Speech,Installed LPs
Microsoft-Windows-LanguageFeatures-Speech-fr-ca-Package.cab,fr-ca,fr-ca,,Speech,Installed LPs
Microsoft-Windows-LanguageFeatures-Speech-fr-fr-Package.cab,fr-fr,fr-fr,,Speech,Installed LPs
Microsoft-Windows-LanguageFeatures-Speech-it-it-Package.cab,it-it,it-it,,Speech,Installed LPs
Microsoft-Windows-LanguageFeatures-Speech-ja-jp-Package.cab,ja-jp,ja-jp,,Speech,Installed LPs
Microsoft-Windows-LanguageFeatures-Speech-pt-br-Package.cab,pt-br,pt-br,,Speech,Installed LPs
Microsoft-Windows-LanguageFeatures-Speech-zh-cn-Package.cab,zh-cn,zh-cn,,Speech,Installed LPs
Microsoft-Windows-LanguageFeatures-Speech-zh-hk-Package.cab,zh-tw,zh-hk,,Speech,Installed LPs
Microsoft-Windows-LanguageFeatures-Speech-zh-tw-Package.cab,zh-tw,zh-tw,,Speech,Installed LPs
Microsoft-Windows-LanguageFeatures-TextToSpeech-ar-eg-Package.cab,ar-eg,ar-eg,,Text to Speech,Installed LPs
Microsoft-Windows-LanguageFeatures-TextToSpeech-ar-sa-Package.cab,ar-sa,ar-sa,,Text to Speech,Installed LPs
Microsoft-Windows-LanguageFeatures-TextToSpeech-bg-bg-Package.cab,bg-bg,bg-bg,,Text to Speech,Installed LPs
Microsoft-Windows-LanguageFeatures-TextToSpeech-ca-es-Package.cab,ca-es,ca-es,,Text to Speech,Installed LPs
Microsoft-Windows-LanguageFeatures-TextToSpeech-cs-cz-Package.cab,cs-cz,cs-cz,,Text to Speech,Installed LPs
Microsoft-Windows-LanguageFeatures-TextToSpeech-da-dk-Package.cab,da-dk,da-dk,,Text to Speech,Installed LPs
Microsoft-Windows-LanguageFeatures-TextToSpeech-de-at-Package.cab,de-at,de-at,,Text to Speech,Installed LPs
Microsoft-Windows-LanguageFeatures-TextToSpeech-de-ch-Package.cab,de-ch,de-ch,,Text to Speech,Installed LPs
Microsoft-Windows-LanguageFeatures-TextToSpeech-de-de-Package.cab,de-de,de-de,,Text to Speech,Installed LPs
Microsoft-Windows-LanguageFeatures-TextToSpeech-el-gr-Package.cab,el-gr,el-gr,,Text to Speech,Installed LPs
Microsoft-Windows-LanguageFeatures-TextToSpeech-en-au-Package.cab,en-au,en-au,,Text to Speech,Installed LPs
Microsoft-Windows-LanguageFeatures-TextToSpeech-en-ca-Package.cab,en-ca,en-ca,,Text to Speech,Installed LPs
Microsoft-Windows-LanguageFeatures-TextToSpeech-en-gb-Package.cab,en-gb,en-gb,,Text to Speech,Installed LPs
Microsoft-Windows-LanguageFeatures-TextToSpeech-en-ie-Package.cab,en-ie,en-ie,,Text to Speech,Installed LPs
Microsoft-Windows-LanguageFeatures-TextToSpeech-en-in-Package.cab,en-in,en-in,,Text to Speech,Installed LPs
Microsoft-Windows-LanguageFeatures-TextToSpeech-en-us-Package.cab,en-us,en-us,,Text to Speech,Installed LPs
Microsoft-Windows-LanguageFeatures-TextToSpeech-es-es-Package.cab,es-es,es-es,,Text to Speech,Installed LPs
Microsoft-Windows-LanguageFeatures-TextToSpeech-es-mx-Package.cab,es-mx,es-mx,,Text to Speech,Installed LPs
Microsoft-Windows-LanguageFeatures-TextToSpeech-fi-fi-Package.cab,fi-fi,fi-fi,,Text to Speech,Installed LPs
Microsoft-Windows-LanguageFeatures-TextToSpeech-fr-ca-Package.cab,fr-ca,fr-ca,,Text to Speech,Installed LPs
Microsoft-Windows-LanguageFeatures-TextToSpeech-fr-ch-Package.cab,fr-ch,fr-ch,,Text to Speech,Installed LPs
Microsoft-Windows-LanguageFeatures-TextToSpeech-fr-fr-Package.cab,fr-fr,fr-fr,,Text to Speech,Installed LPs
Microsoft-Windows-LanguageFeatures-TextToSpeech-he-il-Package.cab,he-il,he-il,,Text to Speech,Installed LPs
Microsoft-Windows-LanguageFeatures-TextToSpeech-hi-in-Package.cab,hi-in,hi-in,,Text to Speech,Installed LPs
Microsoft-Windows-LanguageFeatures-TextToSpeech-hr-hr-Package.cab,hr-hr,hr-hr,,Text to Speech,Installed LPs
Microsoft-Windows-LanguageFeatures-TextToSpeech-hu-hu-Package.cab,hu-hu,hu-hu,,Text to Speech,Installed LPs
Microsoft-Windows-LanguageFeatures-TextToSpeech-id-id-Package.cab,id-id,id-id,,Text to Speech,Installed LPs
Microsoft-Windows-LanguageFeatures-TextToSpeech-it-it-Package.cab,it-it,it-it,,Text to Speech,Installed LPs
Microsoft-Windows-LanguageFeatures-TextToSpeech-ja-jp-Package.cab,ja-jp,ja-jp,,Text to Speech,Installed LPs
Microsoft-Windows-LanguageFeatures-TextToSpeech-ko-kr-Package.cab,ko-kr,ko-kr,,Text to Speech,Installed LPs
Microsoft-Windows-LanguageFeatures-TextToSpeech-ms-my-Package.cab,ms-my,ms-my,,Text to Speech,Installed LPs
Microsoft-Windows-LanguageFeatures-TextToSpeech-nb-no-Package.cab,nb-no,nb-no,,Text to Speech,Installed LPs
Microsoft-Windows-LanguageFeatures-TextToSpeech-nl-be-Package.cab,nl-be,nl-be,,Text to Speech,Installed LPs
Microsoft-Windows-LanguageFeatures-TextToSpeech-nl-nl-Package.cab,nl-nl,nl-nl,,Text to Speech,Installed LPs
Microsoft-Windows-LanguageFeatures-TextToSpeech-pl-pl-Package.cab,pl-pl,pl-pl,,Text to Speech,Installed LPs
Microsoft-Windows-LanguageFeatures-TextToSpeech-pt-br-Package.cab,pt-br,pt-br,,Text to Speech,Installed LPs
Microsoft-Windows-LanguageFeatures-TextToSpeech-pt-pt-Package.cab,pt-pt,pt-pt,,Text to Speech,Installed LPs
Microsoft-Windows-LanguageFeatures-TextToSpeech-ro-ro-Package.cab,ro-ro,ro-ro,,Text to Speech,Installed LPs
Microsoft-Windows-LanguageFeatures-TextToSpeech-ru-ru-Package.cab,ru-ru,ru-ru,,Text to Speech,Installed LPs
Microsoft-Windows-LanguageFeatures-TextToSpeech-sk-sk-Package.cab,sk-sk,sk-sk,,Text to Speech,Installed LPs
Microsoft-Windows-LanguageFeatures-TextToSpeech-sl-sl-Package.cab,sl-sl,sl-sl,,Text to Speech,Installed LPs
Microsoft-Windows-LanguageFeatures-TextToSpeech-sv-se-Package.cab,sv-se,sv-se,,Text to Speech,Installed LPs
Microsoft-Windows-LanguageFeatures-TextToSpeech-ta-in-Package.cab,ta-in,ta-in,,Text to Speech,Installed LPs
Microsoft-Windows-LanguageFeatures-TextToSpeech-th-th-Package.cab,th-th,th-th,,Text to Speech,Installed LPs
Microsoft-Windows-LanguageFeatures-TextToSpeech-tr-tr-Package.cab,tr-tr,tr-tr,,Text to Speech,Installed LPs
Microsoft-Windows-LanguageFeatures-TextToSpeech-vi-vn-Package.cab,vi-vn,vi-vn,,Text to Speech,Installed LPs
Microsoft-Windows-LanguageFeatures-TextToSpeech-zh-cn-Package.cab,zh-cn,zh-cn,,Text to Speech,Installed LPs
Microsoft-Windows-LanguageFeatures-TextToSpeech-zh-hk-Package.cab,zh-hk,zh-hk,,Text to Speech,Installed LPs
Microsoft-Windows-LanguageFeatures-TextToSpeech-zh-tw-Package.cab,zh-tw,zh-tw,,Text to Speech,Installed LPs
Microsoft-Windows-LanguageFeatures-Fonts-Arab-Package.cab,ar-sa,ar,Arab,Fonts,Language Profile list
Microsoft-Windows-LanguageFeatures-Fonts-Arab-Package.cab,ar-sa,ar-AE,Arab,Fonts,Language Profile list
Microsoft-Windows-LanguageFeatures-Fonts-Arab-Package.cab,ar-sa,ar-BH,Arab,Fonts,Language Profile list
Microsoft-Windows-LanguageFeatures-Fonts-Arab-Package.cab,ar-sa,ar-DJ,Arab,Fonts,Language Profile list
Microsoft-Windows-LanguageFeatures-Fonts-Arab-Package.cab,ar-sa,ar-DZ,Arab,Fonts,Language Profile list
Microsoft-Windows-LanguageFeatures-Fonts-Arab-Package.cab,ar-sa,ar-EG,Arab,Fonts,Language Profile list
Microsoft-Windows-LanguageFeatures-Fonts-Arab-Package.cab,ar-sa,ar-ER,Arab,Fonts,Language Profile list
Microsoft-Windows-LanguageFeatures-Fonts-Arab-Package.cab,ar-sa,ar-IL,Arab,Fonts,Language Profile list
Microsoft-Windows-LanguageFeatures-Fonts-Arab-Package.cab,ar-sa,ar-IQ,Arab,Fonts,Language Profile list
Microsoft-Windows-LanguageFeatures-Fonts-Arab-Package.cab,ar-sa,ar-JO,Arab,Fonts,Language Profile list
Microsoft-Windows-LanguageFeatures-Fonts-Arab-Package.cab,ar-sa,ar-KM,Arab,Fonts,Language Profile list
Microsoft-Windows-LanguageFeatures-Fonts-Arab-Package.cab,ar-sa,ar-KW,Arab,Fonts,Language Profile list
Microsoft-Windows-LanguageFeatures-Fonts-Arab-Package.cab,ar-sa,ar-LB,Arab,Fonts,Language Profile list
Microsoft-Windows-LanguageFeatures-Fonts-Arab-Package.cab,ar-sa,ar-LY,Arab,Fonts,Language Profile list
Microsoft-Windows-LanguageFeatures-Fonts-Arab-Package.cab,ar-sa,ar-MA,Arab,Fonts,Language Profile list
Microsoft-Windows-LanguageFeatures-Fonts-Arab-Package.cab,ar-sa,ar-MR,Arab,Fonts,Language Profile list
Microsoft-Windows-LanguageFeatures-Fonts-Arab-Package.cab,ar-sa,ar-OM,Arab,Fonts,Language Profile list
Microsoft-Windows-LanguageFeatures-Fonts-Arab-Package.cab,ar-sa,ar-PS,Arab,Fonts,Language Profile list
Microsoft-Windows-LanguageFeatures-Fonts-Arab-Package.cab,ar-sa,ar-QA,Arab,Fonts,Language Profile list
Microsoft-Windows-LanguageFeatures-Fonts-Arab-Package.cab,ar-sa,ar-SA,Arab,Fonts,Language Profile list
Microsoft-Windows-LanguageFeatures-Fonts-Arab-Package.cab,ar-sa,ar-SD,Arab,Fonts,Language Profile list
Microsoft-Windows-LanguageFeatures-Fonts-Arab-Package.cab,ar-sa,ar-SO,Arab,Fonts,Language Profile list
Microsoft-Windows-LanguageFeatures-Fonts-Arab-Package.cab,ar-sa,ar-SS,Arab,Fonts,Language Profile list
Microsoft-Windows-LanguageFeatures-Fonts-Arab-Package.cab,ar-sa,ar-SY,Arab,Fonts,Language Profile list
Microsoft-Windows-LanguageFeatures-Fonts-Arab-Package.cab,ar-sa,ar-TD,Arab,Fonts,Language Profile list
Microsoft-Windows-LanguageFeatures-Fonts-Arab-Package.cab,ar-sa,ar-TN,Arab,Fonts,Language Profile list
Microsoft-Windows-LanguageFeatures-Fonts-Arab-Package.cab,ar-sa,ar-YE,Arab,Fonts,Language Profile list
Microsoft-Windows-LanguageFeatures-Fonts-Arab-Package.cab,ar-sa,arz-Arab,Arab,Fonts,Language Profile list
Microsoft-Windows-LanguageFeatures-Fonts-Arab-Package.cab,ar-sa,ckb-Arab,Arab,Fonts,Language Profile list
Microsoft-Windows-LanguageFeatures-Fonts-Arab-Package.cab,ar-sa,fa,Arab,Fonts,Language Profile list
Microsoft-Windows-LanguageFeatures-Fonts-Arab-Package.cab,ar-sa,fa-AF,Arab,Fonts,Language Profile list
Microsoft-Windows-LanguageFeatures-Fonts-Arab-Package.cab,ar-sa,fa-IR,Arab,Fonts,Language Profile list
Microsoft-Windows-LanguageFeatures-Fonts-Arab-Package.cab,ar-sa,glk-Arab,Arab,Fonts,Language Profile list
Microsoft-Windows-LanguageFeatures-Fonts-Arab-Package.cab,ar-sa,ha-Arab,Arab,Fonts,Language Profile list
Microsoft-Windows-LanguageFeatures-Fonts-Arab-Package.cab,ar-sa,ks-Arab,Arab,Fonts,Language Profile list
Microsoft-Windows-LanguageFeatures-Fonts-Arab-Package.cab,ar-sa,ks-Arab-IN,Arab,Fonts,Language Profile list
Microsoft-Windows-LanguageFeatures-Fonts-Arab-Package.cab,ar-sa,ku-Arab,Arab,Fonts,Language Profile list
Microsoft-Windows-LanguageFeatures-Fonts-Arab-Package.cab,ar-sa,ku-Arab-IQ,Arab,Fonts,Language Profile list
Microsoft-Windows-LanguageFeatures-Fonts-Arab-Package.cab,ar-sa,mzn-Arab,Arab,Fonts,Language Profile list
Microsoft-Windows-LanguageFeatures-Fonts-Arab-Package.cab,ar-sa,pa-Arab,Arab,Fonts,Language Profile list
Microsoft-Windows-LanguageFeatures-Fonts-Arab-Package.cab,ar-sa,pa-Arab-PK,Arab,Fonts,Language Profile list
Microsoft-Windows-LanguageFeatures-Fonts-Arab-Package.cab,ar-sa,pnb-Arab,Arab,Fonts,Language Profile list
Microsoft-Windows-LanguageFeatures-Fonts-Arab-Package.cab,ar-sa,prs,Arab,Fonts,Language Profile list
Microsoft-Windows-LanguageFeatures-Fonts-Arab-Package.cab,ar-sa,prs-AF,Arab,Fonts,Language Profile list
Microsoft-Windows-LanguageFeatures-Fonts-Arab-Package.cab,ar-sa,prs-Arab,Arab,Fonts,Language Profile list
Microsoft-Windows-LanguageFeatures-Fonts-Arab-Package.cab,ar-sa,ps,Arab,Fonts,Language Profile list
Microsoft-Windows-LanguageFeatures-Fonts-Arab-Package.cab,ar-sa,ps-AF,Arab,Fonts,Language Profile list
Microsoft-Windows-LanguageFeatures-Fonts-Arab-Package.cab,ar-sa,sd-Arab,Arab,Fonts,Language Profile list
Microsoft-Windows-LanguageFeatures-Fonts-Arab-Package.cab,ar-sa,sd-Arab-PK,Arab,Fonts,Language Profile list
Microsoft-Windows-LanguageFeatures-Fonts-Arab-Package.cab,ar-sa,tk-Arab,Arab,Fonts,Language Profile list
Microsoft-Windows-LanguageFeatures-Fonts-Arab-Package.cab,ar-sa,ug,Arab,Fonts,Language Profile list
Microsoft-Windows-LanguageFeatures-Fonts-Arab-Package.cab,ar-sa,ug-Arab,Arab,Fonts,Language Profile list
Microsoft-Windows-LanguageFeatures-Fonts-Arab-Package.cab,ar-sa,ug-CN,Arab,Fonts,Language Profile list
Microsoft-Windows-LanguageFeatures-Fonts-Arab-Package.cab,ar-sa,ur,Arab,Fonts,Language Profile list
Microsoft-Windows-LanguageFeatures-Fonts-Arab-Package.cab,ar-sa,ur-IN,Arab,Fonts,Language Profile list
Microsoft-Windows-LanguageFeatures-Fonts-Arab-Package.cab,ar-sa,ur-PK,Arab,Fonts,Language Profile list
Microsoft-Windows-LanguageFeatures-Fonts-Arab-Package.cab,ar-sa,uz-Arab,Arab,Fonts,Language Profile list
Microsoft-Windows-LanguageFeatures-Fonts-Arab-Package.cab,ar-sa,uz-Arab-AF,Arab,Fonts,Language Profile list
Microsoft-Windows-LanguageFeatures-Fonts-Arab-Package.cab,ar-sa,as,Beng,Fonts,Language Profile list
Microsoft-Windows-LanguageFeatures-Fonts-Beng-Package.cab,bn-in,as-IN,Beng,Fonts,Language Profile list
Microsoft-Windows-LanguageFeatures-Fonts-Beng-Package.cab,bn-in,bn,Beng,Fonts,Language Profile list
Microsoft-Windows-LanguageFeatures-Fonts-Beng-Package.cab,bn-in,bn-BD,Beng,Fonts,Language Profile list
Microsoft-Windows-LanguageFeatures-Fonts-Beng-Package.cab,bn-in,bn-IN,Beng,Fonts,Language Profile list
Microsoft-Windows-LanguageFeatures-Fonts-Beng-Package.cab,bn-in,bpy-Beng,Beng,Fonts,Language Profile list
Microsoft-Windows-LanguageFeatures-Fonts-Cans-Package.cab,da-dk,iu-Cans,Cans,Fonts,Language Profile list
